Coefficient
-0.11054214
-0.10265273
-0.0893818
-0.074198864
-0.07710052
-0.06208541
-0.04297875
-0.027095707
-0.027248947
-0.02315967
-0.011080392
0.00886127
0.014992361
0.027065298
0.036669504
0.04609393
0.055328775
0.062372893
0.08276495
0.09669468
0.10524566
0.1016023
0.11907795
0.13432562
0.14480722
0.13969617
0.14972748
0.1599451
0.16225383
